tiktoker_name,tiktok_name,subscribers_count,views_avg,likes_avg,comments_avg,shares_avg
kevinprieto077,kevinprieto077,1800000.0,3800000.0,58929999.99999999,340000.0,310000.0
christianfabiannn,Christian Fabián D.,12000000.0,4800000.0,73320000.0,370000.0,
brotherofcolor,Heyimparis,12700000.0,5000000.0,60950000.0,360000.0,110000.00000000001
gavrilinaa,Юлька Шпулька🕷🕸,16300000.0,3900000.0,52220000.00000001,400000.0,300000.0
phun.anh,Phùn Anh,2700000.0,6800000.0,37420000.0,380000.0,170000.0
tooturnttony,Tooturnttony,15600000.0,5400000.0,46460000.0,280000.0,280000.0
baimwong,Baim Wong,7500000.0,5100000.0,39240000.0,370000.0,330000.0
maxtaylorlifts,Max Taylor,7600000.0,3000000.0,52900000.0,440000.00000000006,450000.0
kimberly11sofia,✨Kimberly11sofia✨,57660000.0,1900000.0,20800000.0,2700000.0,780000.0
lourdasprec,LOURD,8700000.0,2400000.0,59210000.0,530000.0,430000.0
katiavlogss,KATIAVLOGS🐒,13800000.0,4600000.0,63820000.00000001,350000.0,110000.00000000001
itslennnie,lennnie,1900000.0,1900000.0,31920000.0,240000.0,2000000.0
couragejd,Jack CouRage Dunlop,3100000.0,3400000.0,39150000.0,290000.0,710000.0
karimmahmoudabdelaziz,Karim Mahmoud Abdel Aziz,3400000.0,5300000.0,37560000.0,250000.0,409999.99999999994
jbdjebb,Jean-Baptiste Djebbari,1100000.0,2900000.0,44860000.0,620000.0,380000.0
dailymug69,It’s a sad story...,4200000.0,4099999.9999999995,54420000.00000001,560000.0,
superfirsthero,СУПЕРПЕРВЫЙГЕРОЙ,1600000.0,2800000.0,52610000.0,440000.00000000006,450000.0
cookingwithlynja,Lynja,9900000.0,5200000.0,64900000.0,250000.0,140000.0
gordonramsayofficial,Gordon Ramsay,31700000.0,5700000.0,55720000.00000001,320000.0,
nabela,nabela,7200000.0,5400000.0,62710000.0,260000.0,120000.0
alexwaarren,Alex warren,15200000.0,4600000.0,76900000.0,130000.0,229999.99999999997
ayesebastien,Sebastien,7200000.0,3100000.0,56529999.99999999,280000.0,459999.99999999994
jamie32bsh,Jamie Big Sorrel Hor,7100000.0,5800000.0,31360000.000000004,470000.0,220000.00000000003
maxthemeatguy,Max The Meat Guy,3800000.0,6200000.0,68190000.0,170000.0,120000.0
andy.and.michelle,Andy & Michelle,3700000.0,3100000.0,43810000.0,280000.0,610000.0
